"SUBS_MSISDN","EVENT_DT","CUST_REV"
"2i0a0a9b1j4g0a4g0a0a",2015-10-22,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-22,2.48
"2i0a0a9b0a9b0a8c2i7d",2015-10-22,18.8
"2i0a4g6e0a0a8c1j7d8c",2015-10-29,0.18
"2i0a0a9b1j7d7d7d3h4g",2015-10-23,4.136
"2i0a4g6e0a0a8c1j7d8c",2015-10-30,0
"2i0a4g6e0a0a8c1j7d8c",2015-10-31,10.18
"2i0a0a9b1j4g0a4g0a0a",2015-10-23,0
"2i0a0a9b1j7d7d7d3h4g",2015-10-24,16.9358
"2i0a4g6e0a0a3h6e3h4g",2015-10-23,0.096
"2i0a0a9b0a9b0a8c2i7d",2015-10-23,3.8
"2i0a0a9b1j4g0a4g0a0a",2015-10-24,0.0333
"2i0a0a9b1j7d7d7d3h4g",2015-10-25,2.661
"2i0a4g6e0a0a3h6e3h4g",2015-10-24,1.176
"2i0a0a9b0a9b0a8c2i7d",2015-10-24,1.9
"2i0a4g6e0a0a8c1j7d8c",2015-11-01,5.71
"2i0a0a9b1j4g0a4g0a0a",2015-10-25,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-25,4.256
"2i0a0a9b0a9b0a8c2i7d",2015-10-25,2.2
"2i0a0a9b1j7d7d7d3h4g",2015-10-26,3.1
"2i0a4g6e0a0a8c1j7d8c",2015-11-02,6.29
"2i0a4g6e0a0a8c1j7d8c",2015-11-03,0.37
"2i0a0a9b1j7d7d7d3h4g",2015-10-27,3.631
"2i0a0a9b1j4g0a4g0a0a",2015-10-26,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-26,25.176
"2i0a0a9b0a9b0a8c2i7d",2015-10-26,3.5
"2i0a0a9b1j4g0a4g0a0a",2015-10-27,0.1189
"2i0a4g6e0a0a3h6e3h4g",2015-10-27,8.676
"2i0a0a9b1j7d7d7d3h4g",2015-10-28,-4.6113
"2i0a0a9b0a9b0a8c2i7d",2015-10-27,3.742
"2i0a0a9b1j4g0a4g0a0a",2015-10-28,0.683
